"Date","Price","Open","High","Low","Change %"
"Jul 14, 2014","0.6897","0.6900","0.6914","0.6884","-0.07%"
"Jul 11, 2014","0.6902","0.6899","0.6922","0.6890","-0.01%"
"Jul 10, 2014","0.6903","0.6894","0.6929","0.6864","0.06%"
"Jul 09, 2014","0.6899","0.6903","0.6920","0.6884","-0.09%"
"Jul 08, 2014","0.6905","0.6888","0.6924","0.6879","0.23%"
"Jul 07, 2014","0.6889","0.6885","0.6894","0.6876","0.01%"
"Jul 04, 2014","0.6888","0.6865","0.6897","0.6861","0.31%"
"Jul 03, 2014","0.6867","0.6911","0.6916","0.6836","-0.67%"
"Jul 02, 2014","0.6913","0.6942","0.6945","0.6904","-0.43%"
"Jul 01, 2014","0.6943","0.6889","0.6945","0.6874","0.78%"
"Jun 30, 2014","0.6889","0.6899","0.6911","0.6871","-0.23%"
"Jun 27, 2014","0.6905","0.6912","0.6932","0.6894","-0.16%"
"Jun 26, 2014","0.6916","0.6899","0.6930","0.6888","0.19%"
"Jun 25, 2014","0.6903","0.6884","0.6907","0.6868","0.26%"
"Jun 24, 2014","0.6885","0.6922","0.6940","0.6878","-0.58%"
"Jun 23, 2014","0.6925","0.6891","0.6956","0.6886","0.30%"
"Jun 20, 2014","0.6904","0.6904","0.6924","0.6896","-0.03%"
"Jun 19, 2014","0.6906","0.6917","0.6925","0.6894","-0.20%"
"Jun 18, 2014","0.6920","0.6888","0.6925","0.6865","0.41%"
"Jun 17, 2014","0.6892","0.6924","0.6930","0.6880","-0.48%"
"Jun 16, 2014","0.6925","0.6941","0.6951","0.6910","-0.24%"
"Jun 13, 2014","0.6942","0.6953","0.6959","0.6911","-0.19%"
"Jun 12, 2014","0.6955","0.6931","0.6966","0.6909","0.30%"
"Jun 11, 2014","0.6934","0.6918","0.6949","0.6910","0.23%"
"Jun 10, 2014","0.6918","0.6880","0.6926","0.6870","0.51%"
"Jun 09, 2014","0.6883","0.6841","0.6885","0.6831","0.60%"
"Jun 06, 2014","0.6842","0.6836","0.6867","0.6822","0.06%"
"Jun 05, 2014","0.6838","0.6821","0.6894","0.6807","0.23%"
"Jun 04, 2014","0.6822","0.6796","0.6827","0.6792","0.34%"
"Jun 03, 2014","0.6799","0.6798","0.6830","0.6778","-0.03%"
"Jun 02, 2014","0.6801","0.6830","0.6837","0.6776","-0.42%"
"May 30, 2014","0.6830","0.6842","0.6858","0.6809","-0.19%"
"May 29, 2014","0.6843","0.6794","0.6846","0.6773","0.71%"
"May 28, 2014","0.6795","0.6788","0.6802","0.6771","0.06%"
"May 27, 2014","0.6791","0.6768","0.6799","0.6763","0.33%"
"May 26, 2014","0.6769","0.6774","0.6784","0.6763","-0.01%"
"May 23, 2014","0.6770","0.6749","0.6785","0.6749","0.24%"
"May 22, 2014","0.6754","0.6758","0.6784","0.6737","-0.09%"
