"Date","Price","Open","High","Low","Change %"
"Jul 14, 2014","173.49","173.57","174.06","173.28","-0.07%"
"Jul 11, 2014","173.61","173.54","173.86","173.13","-0.01%"
"Jul 10, 2014","173.62","174.34","174.47","172.90","-0.44%"
"Jul 09, 2014","174.38","173.99","174.43","173.74","0.21%"
"Jul 08, 2014","174.02","174.41","174.58","173.67","-0.24%"
"Jul 07, 2014","174.44","175.15","175.30","174.20","-0.45%"
"Jul 04, 2014","175.23","175.27","175.39","174.78","-0.04%"
"Jul 03, 2014","175.30","174.69","175.40","174.42","0.33%"
"Jul 02, 2014","174.73","174.09","174.86","173.93","0.35%"
"Jul 01, 2014","174.12","173.25","174.31","173.20","0.46%"
"Jun 30, 2014","173.33","172.65","173.49","172.30","0.37%"
"Jun 27, 2014","172.69","173.18","173.24","172.39","-0.31%"
"Jun 26, 2014","173.23","172.99","173.46","172.55","0.12%"
"Jun 25, 2014","173.02","173.19","173.23","172.66","-0.11%"
"Jun 24, 2014","173.21","173.56","173.73","172.88","-0.22%"
"Jun 23, 2014","173.59","173.64","173.88","173.10","-0.04%"
"Jun 20, 2014","173.66","173.64","174.14","173.47","-0.01%"
"Jun 19, 2014","173.68","173.16","173.85","172.95","0.28%"
"Jun 18, 2014","173.20","173.26","173.81","172.86","-0.06%"
"Jun 17, 2014","173.30","172.94","173.48","172.77","0.19%"
"Jun 16, 2014","172.97","173.10","173.30","172.64","-0.11%"
"Jun 13, 2014","173.16","172.16","173.39","172.05","0.56%"
"Jun 12, 2014","172.20","171.33","172.29","170.96","0.48%"
"Jun 11, 2014","171.38","171.50","171.82","170.91","-0.07%"
"Jun 10, 2014","171.50","172.23","172.35","171.29","-0.45%"
"Jun 09, 2014","172.28","172.10","172.58","171.94","0.04%"
"Jun 06, 2014","172.21","172.22","172.56","171.75","-0.01%"
"Jun 05, 2014","172.23","171.92","172.35","171.54","0.14%"
"Jun 04, 2014","171.99","171.64","172.10","171.29","0.17%"
"Jun 03, 2014","171.70","171.40","171.83","171.20","0.15%"
"Jun 02, 2014","171.45","170.62","171.67","170.38","0.55%"
"May 30, 2014","170.51","170.13","170.73","169.72","0.21%"
"May 29, 2014","170.16","170.16","170.24","169.47","-0.02%"
"May 28, 2014","170.20","171.40","171.55","169.83","-0.73%"
"May 27, 2014","171.45","171.65","172.02","171.21","-0.16%"
"May 26, 2014","171.72","171.63","171.84","171.40","0.02%"
"May 23, 2014","171.68","171.58","171.82","171.19","0.03%"
"May 22, 2014","171.63","171.26","171.91","171.15","0.17%"
"May 21, 2014","171.34","170.58","171.55","169.76","0.41%"
"May 20, 2014","170.64","170.61","170.97","170.31","-0.02%"
"May 19, 2014","170.67","170.64","171.00","169.96","-0.02%"
"May 16, 2014","170.71","170.51","171.13","170.16","0.10%"
"May 15, 2014","170.54","170.80","171.08","170.11","-0.18%"
"May 14, 2014","170.84","172.03","172.38","170.53","-0.71%"
"May 13, 2014","172.06","172.25","172.77","171.86","-0.12%"
"May 12, 2014","172.27","171.32","172.54","171.28","0.36%"
"May 09, 2014","171.66","172.12","172.32","171.14","-0.28%"
"May 08, 2014","172.14","172.75","172.88","171.82","-0.38%"
"May 07, 2014","172.79","172.59","173.01","172.09","0.10%"
"May 06, 2014","172.62","172.21","173.00","172.13","0.20%"
"May 05, 2014","172.27","172.28","172.62","171.71","-0.05%"
"May 02, 2014","172.35","172.83","173.47","172.29","-0.31%"
"May 01, 2014","172.88","172.50","172.99","172.31","0.19%"
"Apr 30, 2014","172.55","172.64","172.81","171.86","-0.09%"
"Apr 29, 2014","172.71","172.24","172.98","172.17","0.25%"
"Apr 28, 2014","172.28","171.51","172.61","171.20","0.34%"
"Apr 25, 2014","171.69","171.88","172.33","171.32","-0.15%"
"Apr 24, 2014","171.95","172.07","172.24","171.41","-0.08%"
"Apr 23, 2014","172.09","172.58","172.82","171.29","-0.32%"
"Apr 22, 2014","172.64","172.27","172.79","171.95","0.19%"
"Apr 21, 2014","172.32","172.21","172.53","171.83","0.11%"
"Apr 18, 2014","172.13","171.89","172.22","171.72","0.11%"
"Apr 17, 2014","171.94","171.67","172.16","171.41","0.12%"
"Apr 16, 2014","171.74","170.49","172.14","170.21","0.71%"
"Apr 15, 2014","170.53","170.32","170.71","169.60","0.09%"
"Apr 14, 2014","170.38","169.85","170.57","169.55","0.19%"
"Apr 11, 2014","170.05","170.35","170.94","169.45","-0.22%"
"Apr 10, 2014","170.43","171.21","171.68","170.01","-0.49%"
"Apr 09, 2014","171.27","170.45","171.35","170.41","0.44%"
"Apr 08, 2014","170.52","171.21","171.62","169.96","-0.43%"
"Apr 07, 2014","171.25","171.19","171.64","170.61","0.00%"
"Apr 04, 2014","171.25","172.44","172.56","170.93","-0.72%"
"Apr 03, 2014","172.50","172.68","173.20","172.08","-0.12%"
"Apr 02, 2014","172.70","172.30","173.06","172.22","0.20%"
"Apr 01, 2014","172.36","171.90","172.52","171.66","0.21%"
"Mar 31, 2014","172.00","171.19","172.17","170.91","0.54%"
"Mar 28, 2014","171.08","169.67","171.36","169.46","0.78%"
"Mar 27, 2014","169.75","169.22","170.37","168.58","0.29%"
"Mar 26, 2014","169.26","169.01","169.72","168.83","0.14%"
"Mar 25, 2014","169.02","168.62","169.29","168.30","0.20%"
"Mar 24, 2014","168.68","168.56","169.47","168.11","0.05%"
"Mar 21, 2014","168.60","168.96","169.19","168.05","-0.24%"
"Mar 20, 2014","169.01","169.21","169.76","168.64","-0.17%"
"Mar 19, 2014","169.30","168.29","169.72","168.01","0.59%"
"Mar 18, 2014","168.31","169.27","169.63","167.70","-0.59%"
"Mar 17, 2014","169.31","168.61","169.64","168.36","0.35%"
"Mar 14, 2014","168.72","169.27","169.41","167.88","-0.35%"
"Mar 13, 2014","169.31","170.73","171.62","168.66","-0.87%"
